cost_kWh,base_fade,cost_BDT_yr,SoH_loss_final_pct
25554.398541378192,8.014483958471136e-07,28752.271112921626,1.7838974659788202e-07
24547.50866247627,9.200015815150746e-07,31704.93908301879,2.0477781207941055e-07
26725.42280742157,9.123621205831059e-07,34231.2499647484,2.0307738881215937e-07
25577.40998714292,6.539120198440934e-07,23480.47144825647,1.455504810063269e-07
23101.313869824677,6.980794910708877e-07,22639.794840538536,1.5538146206617296e-07
27014.595692793933,7.157583587534067e-07,27145.373891805077,1.5931649861046453e-07
20802.940031113958,7.198040242663078e-07,21021.800715807865,1.6021699981479155e-07
19418.03590208506,8.227944485576872e-07,22429.91251911536,1.831410405721861e-07
20064.45946344616,7.732039762250215e-07,21779.72893235071,1.721029851728189e-07
26134.649765725924,6.5576131837683e-07,24059.87722490404,1.4596210563287623e-07
23634.02141041332,7.595565243070629e-07,25201.631114892123,1.6906527806408187e-07
20748.20907872258,8.076009435896438e-07,23523.847787860894,1.7975920648875958e-07
24010.02984099229,6.725350089291891e-07,22669.321595272446,1.4969566405366935e-07
20662.196186046418,9.06706737212339e-07,26301.120484620067,2.0181858985310827e-07
25884.675600746268,6.566277972688334e-07,23861.234986667332,1.4615497014015748e-07
23483.100245510694,9.359493980857797e-07,30855.936249958737,2.083275440042338e-07
22857.803770526232,6.717162053055601e-07,21555.160112574216,1.4951341130765434e-07
22094.516055819615,9.099439845112808e-07,28224.748384102324,2.0253914993948018e-07
25250.71289394133,9.288490060568374e-07,32926.81259185187,2.0674710895519822e-07
22673.401061312547,9.534626177877096e-07,30349.480937229237,2.1222570992599388e-07
20041.43922543457,8.966482816875499e-07,25227.949550380978,1.9957973661997368e-07
20332.85666035695,8.894328130468252e-07,25388.817493242255,1.9797368733586055e-07
28434.21757967534,8.455946483185752e-07,33754.71420502631,1.8821600469813756e-07
27922.374630793027,8.892788334650013e-07,34859.50631495544,1.9793941391448387e-07
25917.188484583196,6.83056706692207e-07,24852.814269810773,1.5203762768782246e-07
21752.351630011388,8.115417715032439e-07,24782.665832746156,1.8063637250036473e-07
28504.093222538148,8.045513184609326e-07,32195.25785817411,1.7908040813224944e-07
26676.00867807163,9.144230861192184e-07,34245.14104302958,2.035361271684152e-07
26082.145815926357,7.88095796989925e-07,28857.138053974686,1.754176691205295e-07
23513.870420580373,7.63228638752113e-07,25194.729843474328,1.6988263270441158e-07
21813.518993713526,8.446602467958752e-07,25866.562316988973,1.880080216867314e-07
20125.353236673593,7.252682616002707e-07,20491.46986605272,1.6143325268697511e-07
27864.98300682088,6.847258915052662e-07,26785.913367852965,1.524091618469395e-07
23575.452382402666,7.929207276875987e-07,26243.43825932448,1.7649162243925905e-07
21142.68830203421,7.734045979503632e-07,22956.08816818024,1.7214764039819806e-07
22137.183591846264,7.144223809692395e-07,22202.830601425434,1.5901913106988083e-07
24760.5078618422,7.576037792368409e-07,26334.956655276717,1.6863062787318596e-07
20897.018716216626,7.572455839443992e-07,22215.29108938224,1.685508992621097e-07
27423.497127286806,7.447985806120145e-07,28674.28543535633,1.6578039303629082e-07
26481.787486418016,7.614285055126172e-07,28307.880572506067,1.6948195149511685e-07
26106.844377128993,8.594378705459025e-07,31499.21960276284,1.9129728718373217e-07
23348.093181840995,7.350004718628113e-07,24091.839598609364,1.6359948888080638e-07
25222.164870743454,9.436345365489089e-07,33413.12649976333,2.1003813436801877e-07
24807.340501562263,9.332313662522168e-07,32501.27977259841,2.0772255307462882e-07
25438.52737492627,7.938913370560251e-07,28352.016747846155,1.7670766474488522e-07
20010.665482942935,7.450755856015004e-07,20931.13563555377,1.6584204996908473e-07
